participant,time_point,trans_dur,Source,Target
001,24.386,0.022999999999999687,empty,chair27
001,24.471,0.02400000000000091,chair27,S28_C
001,24.495,0.02699999999999747,S28_C,FloorRightSide
001,24.545,0.02400000000000091,FloorRightSide,chair27
001,24.569000000000003,0.021999999999998465,chair27,table24
001,24.591,0.022999999999999687,table24,FloorRightSide
001,24.954,0.021999999999998465,FloorRightSide,chair27
001,24.998,0.023999999999997357,chair27,chair26
001,25.022,0.02100000000000435,chair26,FloorRightSide
001,25.043000000000003,0.022999999999996135,FloorRightSide,chair26
001,25.554,0.18200000000000216,chair26,FloorRightSide
001,25.736,0.021000000000000796,FloorRightSide,chair26
001,25.78,0.021999999999998465,chair26,FloorRightSide
001,25.863000000000003,0.03399999999999537,FloorRightSide,chair26
001,26.064,0.03300000000000125,chair26,table23
001,27.906,0.06700000000000372,table23,table24
001,28.007,0.0329999999999977,table24,empty
001,28.14,0.03500000000000014,empty,rightwall2
001,28.175,0.030999999999998806,rightwall2,empty
001,28.206,0.03399999999999892,empty,rightwall2
001,28.306,0.022000000000002018,rightwall2,empty
001,28.441,0.022000000000002018,empty,S28_C
001,28.463,0.021999999999998465,S28_C,empty
001,28.507,0.021999999999998465,empty,S28_C
001,28.529,0.02400000000000091,S28_C,rightwall2
001,28.575,0.022000000000002018,rightwall2,empty
001,28.597,0.020999999999997243,empty,rightwall2
001,28.663,0.021999999999998465,rightwall2,empty
001,28.685,0.022000000000002018,empty,rightwall2
001,28.707,0.021999999999998465,rightwall2,empty
001,28.729,0.022000000000002018,empty,rightwall2
001,28.886,0.022999999999999687,rightwall2,empty
001,28.933000000000003,0.023999999999997357,empty,rightwall2
001,28.957,0.019999999999999574,rightwall2,empty
001,29.023000000000003,0.021999999999998465,empty,rightwall2
001,29.045,0.021999999999998465,rightwall2,S28_C
001,29.067,0.021999999999998465,S28_C,empty
001,29.156,0.021000000000000796,empty,rightwall2
001,29.177,0.022999999999999687,rightwall2,empty
001,29.2,0.019999999999999574,empty,rightwall2
001,29.243,0.020000000000003126,rightwall2,empty
001,29.286,0.019999999999999574,empty,rightwall2
001,29.306,0.023999999999997357,rightwall2,chair17
001,29.374,0.022000000000002018,chair17,frontcabin
001,29.418000000000003,0.022999999999996135,frontcabin,chair17
001,29.552,0.04400000000000048,chair17,rightwall1
001,29.596,0.022999999999999687,rightwall1,S16_C
001,29.686,0.021999999999998465,S16_C,chair16
001,29.73,0.021000000000000796,chair16,S16_C
001,29.885,0.022999999999999687,S16_C,FrontWall
001,29.908,0.020999999999997243,FrontWall,Screen_95
001,29.976,0.019000000000001904,Screen_95,FrontWall
001,29.995,0.023999999999997357,FrontWall,Screen_95
001,30.019,0.022000000000002018,Screen_95,FrontWall
001,30.064,0.021000000000000796,FrontWall,Screen_95
001,30.16,0.03400000000000247,Screen_95,FrontWall
001,30.495,0.0329999999999977,FrontWall,CartoonTeacher
001,30.528,0.03300000000000125,CartoonTeacher,SM_Blackboard_Schiene_low_99
001,30.627,0.03400000000000247,SM_Blackboard_Schiene_low_99,FrontWall
001,30.661,0.03300000000000125,FrontWall,SM_Blackboard_Schiene_low_99
001,30.694000000000003,0.0329999999999977,SM_Blackboard_Schiene_low_99,FrontWall
001,30.761,0.03400000000000247,FrontWall,S14_C
001,30.795,0.03300000000000125,S14_C,window1
001,30.828000000000003,0.0329999999999977,window1,S14_C
001,31.028,0.022000000000002018,S14_C,S13_C
001,31.05,0.022999999999999687,S13_C,S12_C
001,31.073,0.021999999999998465,S12_C,S11_C
001,31.117,0.021999999999998465,S11_C,window1
001,31.139,0.022999999999999687,window1,S11_C
001,31.273000000000003,0.023999999999997357,S11_C,window1
001,31.297,0.021000000000000796,window1,leftwall_3
001,31.429,0.022000000000002018,leftwall_3,S22_C
001,31.451,0.022999999999999687,S22_C,leftwall_3
001,31.498,0.020999999999997243,leftwall_3,S24_C
001,31.656,0.021000000000000796,S24_C,leftwall_3
001,31.677,0.02400000000000091,leftwall_3,table32
001,31.932,0.028000000000002245,table32,chair33
001,31.96,0.022999999999999687,chair33,S33_C
001,31.983,0.023999999999997357,S33_C,table32
001,32.161,0.021999999999998465,table32,S34_C
001,32.205,0.021999999999998465,S34_C,FloorLeftSide
001,32.227,0.02200000000000557,FloorLeftSide,S34_C
001,32.249,0.022999999999996135,S34_C,FloorLeftSide
001,32.272,0.02300000000000324,FloorLeftSide,S34_C
001,32.295,0.021999999999998465,S34_C,FloorLeftSide
001,32.317,0.02300000000000324,FloorLeftSide,S42_C
001,32.34,0.02199999999999136,S42_C,FloorLeftSide
001,32.361999999999995,0.0210000000000079,FloorLeftSide,table41
001,32.383,0.022999999999996135,table41,FloorLeftSide
001,32.43,0.021000000000000796,FloorLeftSide,S43_C
001,32.451,0.02400000000000091,S43_C,FloorLeftSide
001,32.522,0.021000000000000796,FloorLeftSide,S44_C
001,32.543,0.02400000000000091,S44_C,FloorLeftSide
001,32.679,0.021999999999998465,FloorLeftSide,table42
001,32.701,0.02300000000000324,table42,FloorLeftSide
001,32.724000000000004,0.021999999999998465,FloorLeftSide,S44_C
001,32.811,0.02300000000000324,S44_C,FloorLeftSide
001,32.966,0.021999999999998465,FloorLeftSide,S35_C
001,32.988,0.020000000000003126,S35_C,FloorLeftSide
001,33.03,0.021000000000000796,FloorLeftSide,backcabin2
001,33.16,0.021999999999998465,backcabin2,FloorLeftSide
001,33.226,0.02200000000000557,FloorLeftSide,S44_C
001,33.248000000000005,0.021999999999998465,S44_C,table42
001,33.27,0.022999999999996135,table42,chair44
001,33.293,0.02300000000000324,chair44,FloorLeftSide
001,33.316,0.021000000000000796,FloorLeftSide,table42
001,33.337,0.022999999999996135,table42,FloorLeftSide
001,33.36,0.02400000000000091,FloorLeftSide,chair44
001,33.384,0.022999999999996135,chair44,FloorLeftSide
001,33.43,0.021999999999998465,FloorLeftSide,S35_C
001,36.209,0.022999999999996135,S35_C,FloorLeftSide
001,36.254,0.02200000000000557,FloorLeftSide,S44_C
001,36.276,0.022999999999996135,S44_C,table41
001,36.299,0.02300000000000324,table41,table42
001,36.322,0.01999999999999602,table42,FloorLeftSide
001,36.342,0.02400000000000091,FloorLeftSide,table42
001,36.366,0.02200000000000557,table42,table41
001,36.388000000000005,0.02199999999999136,table41,FloorLeftSide
001,36.53,0.027000000000001023,FloorLeftSide,table42
001,36.557,0.022999999999996135,table42,FloorLeftSide
001,36.58,0.021999999999998465,FloorLeftSide,table42
001,36.602,0.02200000000000557,table42,table41
001,36.716,0.02499999999999858,table41,table42
001,36.741,0.02200000000000557,table42,table41
001,36.763000000000005,0.02199999999999136,table41,table42
001,36.809,0.02200000000000557,table42,chair42
001,36.831,0.023999999999993804,chair42,table42
001,36.855,0.021000000000000796,table42,FloorLeftSide
001,36.876,0.02300000000000324,FloorLeftSide,table42
001,37.263000000000005,0.02199999999999136,table42,table41
001,37.285,0.02400000000000091,table41,table42
001,37.338,0.021999999999998465,table42,FloorLeftSide
001,37.36,0.021999999999998465,FloorLeftSide,table41
001,37.382,0.02300000000000324,table41,table42
001,37.405,0.02400000000000091,table42,leftwall
001,37.449,0.02499999999999858,leftwall,table42
001,37.682,0.02499999999999858,table42,chair32
001,37.707,0.02400000000000091,chair32,chair31
001,37.731,0.027000000000001023,chair31,S32_C
001,37.758,0.021999999999998465,S32_C,SM_Heizkörper2_81
001,38.024,0.06700000000000017,SM_Heizkörper2_81,FloorLeftSide
001,38.091,0.03300000000000125,FloorLeftSide,leftwall_3
001,38.124,0.031999999999996476,leftwall_3,window1
001,38.156,0.03399999999999892,window1,leftwall
001,38.19,0.03399999999999892,leftwall,window1
001,38.357,0.03300000000000125,window1,S14_C
001,38.39,0.06700000000000017,S14_C,FrontWall
001,38.49,0.03399999999999892,FrontWall,SM_Blackboard_Schiene_low_99
001,38.557,0.03300000000000125,SM_Blackboard_Schiene_low_99,FrontWall
001,38.636,0.021999999999998465,FrontWall,CartoonTeacher
001,38.77,0.022999999999996135,CartoonTeacher,FrontWall
001,38.969,0.021999999999998465,FrontWall,table13
001,38.991,0.02400000000000091,table13,chair15
001,39.442,0.02300000000000324,chair15,table13
001,39.465,0.021999999999998465,table13,chair15
001,39.487,0.021999999999998465,chair15,table13
001,39.747,0.021999999999998465,table13,CartoonTeacher
001,39.879,0.02200000000000557,CartoonTeacher,FrontWall
001,39.901,0.0449999999999946,FrontWall,CartoonTeacher
001,40.169,0.021000000000000796,CartoonTeacher,Screen_95
001,40.305,0.021999999999998465,Screen_95,CartoonTeacher
001,40.441,0.021999999999998465,CartoonTeacher,Screen_95
001,40.463,0.021000000000000796,Screen_95,CartoonTeacher
001,40.506,0.021999999999998465,CartoonTeacher,Screen_95
001,40.528,0.021000000000000796,Screen_95,CartoonTeacher
001,40.549,0.02400000000000091,CartoonTeacher,Screen_95
001,40.638000000000005,0.02199999999999136,Screen_95,CartoonTeacher
001,42.935,0.021999999999998465,CartoonTeacher,Screen_95
001,42.957,0.021999999999998465,Screen_95,SM_Blackboard_Schiene_low_99
001,42.979,0.02200000000000557,SM_Blackboard_Schiene_low_99,FrontWall
001,43.091,0.022999999999996135,FrontWall,Screen_95
001,43.114,0.02300000000000324,Screen_95,CartoonTeacher
001,45.0,0.03300000000000125,CartoonTeacher,Screen_95
001,45.033,0.031999999999996476,Screen_95,CartoonTeacher
001,45.065,0.03399999999999892,CartoonTeacher,Screen_95
001,45.133,0.032999999999994145,Screen_95,CartoonTeacher
001,45.2,0.032999999999994145,CartoonTeacher,Screen_95
001,45.533,0.03300000000000125,Screen_95,CartoonTeacher
001,48.522,0.020000000000003126,CartoonTeacher,Screen_95
001,48.586000000000006,0.022999999999996135,Screen_95,CartoonTeacher
001,48.675,0.02200000000000557,CartoonTeacher,Screen_95
001,50.752,0.021000000000000796,Screen_95,SM_Blackboard_Tafel_unten_low_101
001,51.285,0.034000000000006025,SM_Blackboard_Tafel_unten_low_101,Screen_95
