time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
3.221,CartoonTeacher,3.497345,3.4117580000000003
3.244,CartoonTeacher,3.552246,3.5127559999999995
3.262,CartoonTeacher,3.471222,3.479568
3.284,CartoonTeacher,3.410706,3.525467
3.305,CartoonTeacher,3.409683,3.511017
3.329,CartoonTeacher,3.4306339999999995,3.515457
3.352,CartoonTeacher,3.448624,3.52829
3.372,CartoonTeacher,3.4643550000000003,3.537964
3.394,CartoonTeacher,3.493942,3.5475769999999995
3.417,CartoonTeacher,3.462097,3.60524
3.44,CartoonTeacher,3.543457,3.565964
3.4610000000000003,CartoonTeacher,3.521164,3.53157
3.484,CartoonTeacher,3.518036,3.5439
3.507,CartoonTeacher,3.52034,3.5475160000000003
3.528,CartoonTeacher,3.52916,3.550125
3.551,CartoonTeacher,3.527313,3.54306
3.574,CartoonTeacher,3.522812,3.543045
3.595,CartoonTeacher,3.527969,3.549454
3.617,CartoonTeacher,3.537735,3.543564
3.641,CartoonTeacher,3.4796910000000003,3.5279540000000003
3.662,CartoonTeacher,3.521439,3.497986
3.684,CartoonTeacher,3.474884,3.511047
3.706,CartoonTeacher,3.475006,3.534561
3.729,CartoonTeacher,3.4981690000000003,3.533325
3.751,CartoonTeacher,3.481934,3.548279
3.772,CartoonTeacher,3.466827,3.5448
3.795,CartoonTeacher,3.4623410000000003,3.546234
3.817,CartoonTeacher,3.462967,3.531601
3.839,CartoonTeacher,3.460983,3.526382
3.861,CartoonTeacher,3.458649,3.518906
3.884,CartoonTeacher,3.433563,3.5181730000000004
3.905,CartoonTeacher,3.456146,3.511749
3.928,CartoonTeacher,3.386597,3.499985
3.95,CartoonTeacher,3.40329,3.499435
3.973,CartoonTeacher,3.407715,3.4992980000000005
3.995,CartoonTeacher,3.3849949999999995,3.492264
4.018,CartoonTeacher,3.38269,3.485779
4.04,CartoonTeacher,3.366425,3.485672
4.063,CartoonTeacher,3.359833,3.485138
4.085,CartoonTeacher,3.3593900000000003,3.485291
