"","time","gaze_target","left.pupil_diameter_mm","right.pupil_diameter_mm"
"1",0,"chair25",3.786575,3.863007
"2",0.021,"Screen_95",3.784454,3.862228
"3",0.042,"Screen_95",3.789566,3.86142
"4",0.064,"Screen_95",3.784958,3.850662
"5",0.088,"Screen_95",3.79393,3.8517
"6",0.109,"Screen_95",3.713989,3.816284
"7",0.132,"Screen_95",3.635635,3.859879
"8",0.154,"Screen_95",3.682388,3.978638
"9",0.176,"Screen_95",3.659103,3.804688
"10",0.198,"Screen_95",3.660416,3.803986
"11",0.221,"Screen_95",3.657898,3.832596
"12",0.244,"Screen_95",3.663269,3.862183
"13",0.264,"Screen_95",3.640381,3.839462
"14",0.287,"Screen_95",3.593155,3.847458
"15",0.309,"Screen_95",3.630081,3.786087
"16",0.331,"Screen_95",3.656494,3.796906
"17",0.353,"S16_C",3.622955,3.619034
"22",0.464,"FrontWall",3.452576,3.426147
"23",0.487,"FrontWall",3.748825,3.533737
"24",0.509,"FrontWall",3.781876,3.574844
"25",0.531,"FrontWall",3.797501,3.969421
"26",0.554,"FrontWall",3.782059,3.867661
"27",0.576,"S16_C",3.795853,3.88884
"28",0.598,"S16_C",3.797882,3.878433
"29",0.62,"S16_C",3.789017,3.868149
"30",0.642,"S16_C",3.842743,3.824844
"31",0.665,"S16_C",3.724747,3.797241
"35",0.754,"FrontWall",4.022476,4.013504
"36",0.775,"FrontWall",3.918167,4.024689
"37",0.798,"CartoonTeacher",3.825638,4.175049
"38",0.82,"FrontWall",3.883911,4.1539
"39",0.842,"CartoonTeacher",3.917465,4.128952
"40",0.864,"CartoonTeacher",3.896957,4.064011
"41",0.887,"CartoonTeacher",3.835617,4.038895
"42",0.909,"CartoonTeacher",3.929688,3.939209
"43",0.931,"CartoonTeacher",3.968689,4.070313
"44",0.954,"CartoonTeacher",3.976547,4.13382
"45",0.976,"CartoonTeacher",3.988663,4.049927
"46",0.999,"CartoonTeacher",3.986603,4.037247
"47",1.021,"CartoonTeacher",3.971954,4.056198
"48",1.043,"CartoonTeacher",3.951508,4.051941
"49",1.065,"CartoonTeacher",3.935806,4.062393
"50",1.087,"CartoonTeacher",3.923264,4.054016
"51",1.108,"CartoonTeacher",3.913101,4.055969
"52",1.131,"CartoonTeacher",3.868546,4.053345
"53",1.153,"CartoonTeacher",3.85643,4.013138
"54",1.175,"CartoonTeacher",3.815277,4.132858
"55",1.197,"CartoonTeacher",3.784698,3.94899
"56",1.22,"CartoonTeacher",3.735321,3.826569
"57",1.242,"CartoonTeacher",3.716339,3.776001
"58",1.264,"CartoonTeacher",3.715256,3.773666
"59",1.286,"CartoonTeacher",3.6828,3.969376
"60",1.308,"FrontWall",3.725815,4.006851
"61",1.332,"FrontWall",3.725708,3.689362
"62",1.353,"CartoonTeacher",3.67865,3.795975
"63",1.375,"CartoonTeacher",3.685242,3.729675
"64",1.397,"CartoonTeacher",3.687225,3.7314
"65",1.42,"FrontWall",3.628494,3.630737
"66",1.443,"CartoonTeacher",3.653534,3.580353
"67",1.465,"S16_C",3.566238,3.565582
"68",1.488,"S16_C",3.585251,3.602737
"69",1.509,"S16_C",3.502014,3.567307
"70",1.532,"S16_C",3.560181,3.580429
"71",1.552,"S16_C",3.519745,3.579025
"72",1.574,"S16_C",3.521698,3.55838
"73",1.598,"S16_C",3.539017,3.54277
"74",1.619,"S16_C",3.542831,3.446793
"75",1.642,"S16_C",3.437531,3.43988
"76",1.664,"S16_C",3.437408,3.439758
"77",1.687,"S16_C",3.395111,3.460739
"78",1.709,"S16_C",3.406082,3.462524
"79",1.73,"S16_C",3.392227,3.459473
"80",1.752,"S16_C",3.322632,3.530167
"81",1.776,"S16_C",3.318176,3.486877
"82",1.797,"S16_C",3.290787,3.486847
"83",1.819,"S16_C",3.306168,3.486282
"84",1.841,"S16_C",3.290237,3.485565
"85",1.864,"S16_C",3.290649,3.489136
"86",1.886,"S16_C",3.303284,3.493622
"87",1.908,"CartoonTeacher",3.29451,3.492035
"88",1.931,"CartoonTeacher",3.293777,3.487839
"89",1.953,"CartoonTeacher",3.29213,3.485657
"90",1.975,"CartoonTeacher",3.29866,3.483475
"91",1.997,"CartoonTeacher",3.286118,3.482635
"92",2.019,"CartoonTeacher",3.31282,3.44606
"93",2.041,"CartoonTeacher",3.338669,3.455368
"94",2.064,"CartoonTeacher",3.332901,3.454941
"95",2.086,"CartoonTeacher",3.324921,3.451874
"96",2.109,"CartoonTeacher",3.335815,3.459717
"97",2.131,"CartoonTeacher",3.330734,3.462875
"98",2.153,"CartoonTeacher",3.328018,3.459015
"99",2.175,"CartoonTeacher",3.324829,3.458588
"100",2.197,"CartoonTeacher",3.384018,3.43924
"101",2.219,"CartoonTeacher",3.478043,3.451721
"102",2.241,"CartoonTeacher",3.536346,3.444351
"103",2.264,"CartoonTeacher",3.487976,3.373077
"104",2.286,"CartoonTeacher",3.48204,3.491684
"108",2.375,"CartoonTeacher",3.507813,2.693268
"109",2.397,"CartoonTeacher",3.466629,3.349182
"110",2.42,"CartoonTeacher",3.534164,3.398514
"111",2.442,"CartoonTeacher",3.478378,3.285538
"112",2.465,"CartoonTeacher",3.489716,3.165634
"113",2.486,"CartoonTeacher",3.51329,3.277893
"114",2.508,"CartoonTeacher",3.461044,3.270477
"115",2.53,"CartoonTeacher",3.419662,3.270676
"116",2.553,"CartoonTeacher",3.463455,3.243103
"117",2.576,"CartoonTeacher",3.441696,3.2659
"118",2.598,"CartoonTeacher",3.410172,3.212311
"119",2.62,"CartoonTeacher",3.413849,3.211609
"120",2.642,"CartoonTeacher",3.429993,3.212112
"121",2.664,"CartoonTeacher",3.446762,3.211334
"122",2.686,"CartoonTeacher",3.440292,3.218506
"123",2.708,"CartoonTeacher",3.427216,3.299973
"124",2.73,"CartoonTeacher",3.468338,3.339508
"125",2.753,"CartoonTeacher",3.460892,3.369568
"126",2.775,"CartoonTeacher",3.492294,3.37677
"127",2.798,"CartoonTeacher",3.439667,3.378311
"128",2.82,"CartoonTeacher",3.453278,3.392868
"129",2.842,"CartoonTeacher",3.463608,3.393509
"130",2.865,"CartoonTeacher",3.474991,3.414719
"131",2.886,"CartoonTeacher",3.42569,3.41095
"132",2.908,"CartoonTeacher",3.424774,3.39743
"133",2.93,"CartoonTeacher",3.429489,3.40799
"134",2.954,"CartoonTeacher",3.464432,3.362289
"135",2.975,"CartoonTeacher",3.480148,3.272858
"136",2.997,"CartoonTeacher",3.447372,3.339142
"137",3.019,"CartoonTeacher",3.476898,3.378235
"138",3.042,"CartoonTeacher",3.475433,3.388
"139",3.063,"CartoonTeacher",3.47258,3.397095
"140",3.086,"CartoonTeacher",3.487534,3.395966
"141",3.108,"CartoonTeacher",3.495819,3.40477
"142",3.13,"CartoonTeacher",3.493744,3.414917
"143",3.153,"CartoonTeacher",3.498505,3.416794
"144",3.176,"CartoonTeacher",3.498917,3.421707
"145",3.197,"CartoonTeacher",3.499084,3.413544
"146",3.221,"CartoonTeacher",3.497345,3.411758
"147",3.244,"CartoonTeacher",3.552246,3.512756
"148",3.262,"CartoonTeacher",3.471222,3.479568
"149",3.284,"CartoonTeacher",3.410706,3.525467
"150",3.305,"CartoonTeacher",3.409683,3.511017
"151",3.329,"CartoonTeacher",3.430634,3.515457
"152",3.352,"CartoonTeacher",3.448624,3.52829
"153",3.372,"CartoonTeacher",3.464355,3.537964
"154",3.394,"CartoonTeacher",3.493942,3.547577
"155",3.417,"CartoonTeacher",3.462097,3.60524
"156",3.44,"CartoonTeacher",3.543457,3.565964
"157",3.461,"CartoonTeacher",3.521164,3.53157
"158",3.484,"CartoonTeacher",3.518036,3.5439
"159",3.507,"CartoonTeacher",3.52034,3.547516
"160",3.528,"CartoonTeacher",3.52916,3.550125
"161",3.551,"CartoonTeacher",3.527313,3.54306
"162",3.574,"CartoonTeacher",3.522812,3.543045
"163",3.595,"CartoonTeacher",3.527969,3.549454
"164",3.617,"CartoonTeacher",3.537735,3.543564
"165",3.641,"CartoonTeacher",3.479691,3.527954
"166",3.662,"CartoonTeacher",3.521439,3.497986
"167",3.684,"CartoonTeacher",3.474884,3.511047
"168",3.706,"CartoonTeacher",3.475006,3.534561
"169",3.729,"CartoonTeacher",3.498169,3.533325
"170",3.751,"CartoonTeacher",3.481934,3.548279
"171",3.772,"CartoonTeacher",3.466827,3.5448
"172",3.795,"CartoonTeacher",3.462341,3.546234
"173",3.817,"CartoonTeacher",3.462967,3.531601
"174",3.839,"CartoonTeacher",3.460983,3.526382
"175",3.861,"CartoonTeacher",3.458649,3.518906
"176",3.884,"CartoonTeacher",3.433563,3.518173
"177",3.905,"CartoonTeacher",3.456146,3.511749
"178",3.928,"CartoonTeacher",3.386597,3.499985
"179",3.95,"CartoonTeacher",3.40329,3.499435
"180",3.973,"CartoonTeacher",3.407715,3.499298
"181",3.995,"CartoonTeacher",3.384995,3.492264
"182",4.018,"CartoonTeacher",3.38269,3.485779
"183",4.04,"CartoonTeacher",3.366425,3.485672
"184",4.063,"CartoonTeacher",3.359833,3.485138
"185",4.085,"CartoonTeacher",3.35939,3.485291
"186",4.107,"CartoonTeacher",3.33815,3.485413
"187",4.129,"CartoonTeacher",3.354233,3.485352
"188",4.152,"CartoonTeacher",3.3815,3.485931
"189",4.174,"CartoonTeacher",3.381638,3.486191
"190",4.196,"CartoonTeacher",3.355057,3.475098
"191",4.218,"CartoonTeacher",3.364777,3.463943
"192",4.24,"CartoonTeacher",3.342346,3.462723
"193",4.262,"CartoonTeacher",3.341431,3.462372
"194",4.285,"CartoonTeacher",3.333221,3.448257
"195",4.308,"CartoonTeacher",3.381714,3.439178
"196",4.33,"CartoonTeacher",3.334503,3.434662
"197",4.352,"CartoonTeacher",3.45163,3.393097
"198",4.375,"CartoonTeacher",3.369431,3.307037
"199",4.396,"CartoonTeacher",3.400955,3.136978
"200",4.418,"CartoonTeacher",3.381058,3.189667
"201",4.441,"CartoonTeacher",3.383682,3.188828
"202",4.463,"CartoonTeacher",3.384827,3.152817
"203",4.485,"CartoonTeacher",3.32663,3.132721
"207",4.574,"CartoonTeacher",3.250046,2.544403
"208",4.596,"CartoonTeacher",3.156418,3.260742
"209",4.619,"CartoonTeacher",3.202682,3.184067
"210",4.641,"CartoonTeacher",3.326309,3.128693
"211",4.664,"CartoonTeacher",3.306381,3.223206
"212",4.687,"CartoonTeacher",3.374725,3.054398
"213",4.71,"CartoonTeacher",3.413574,3.120407
"214",4.733,"CartoonTeacher",3.376251,3.096802
"215",4.756,"CartoonTeacher",3.391953,3.016525
"216",4.785,"CartoonTeacher",3.353745,3.187485
"217",4.818,"CartoonTeacher",3.427002,3.189301
"218",4.852,"CartoonTeacher",3.412506,3.188477
"219",4.885,"CartoonTeacher",3.421097,3.255066
"220",4.918,"CartoonTeacher",3.427048,3.267593
"221",4.951,"CartoonTeacher",3.441238,3.298416
"222",4.984,"CartoonTeacher",3.469437,3.315857
"223",5.018,"CartoonTeacher",3.478348,3.329956
"224",5.052,"CartoonTeacher",3.479568,3.328125
"225",5.085,"CartoonTeacher",3.47081,3.305756
"226",5.118,"CartoonTeacher",3.469482,3.281326
"227",5.151,"CartoonTeacher",3.500107,3.355225
"228",5.184,"CartoonTeacher",3.471008,3.418839
"229",5.217,"CartoonTeacher",3.468246,3.402344
"230",5.251,"CartoonTeacher",3.46846,3.402588
"231",5.285,"CartoonTeacher",3.474319,3.402237
"232",5.318,"CartoonTeacher",3.494675,3.394058
"233",5.351,"CartoonTeacher",3.508255,3.399155
"234",5.385,"CartoonTeacher",3.496414,3.399734
"235",5.418,"CartoonTeacher",3.49678,3.40596
"236",5.452,"CartoonTeacher",3.498672,3.418976
"237",5.485,"CartoonTeacher",3.498581,3.433731
"238",5.518,"CartoonTeacher",3.510971,3.439682
"239",5.54,"CartoonTeacher",3.508743,3.440109
"240",5.562,"CartoonTeacher",3.50235,3.434219
"241",5.585,"CartoonTeacher",3.504578,3.433289
"242",5.607,"CartoonTeacher",3.506485,3.415451
"243",5.63,"CartoonTeacher",3.506897,3.414566
"244",5.652,"CartoonTeacher",3.507095,3.413116
"245",5.674,"CartoonTeacher",3.502792,3.411484
"246",5.695,"CartoonTeacher",3.499634,3.410385
"247",5.718,"CartoonTeacher",3.478577,3.408112
"248",5.741,"CartoonTeacher",3.515335,3.408783
"249",5.763,"CartoonTeacher",3.488831,3.263519
"250",5.784,"CartoonTeacher",3.43219,3.200684
"251",5.806,"CartoonTeacher",3.487167,3.200806
"252",5.828,"CartoonTeacher",3.459473,3.225052
"253",5.851,"CartoonTeacher",3.442947,3.22934
"254",5.874,"CartoonTeacher",3.440475,3.229507
"255",5.897,"CartoonTeacher",3.440399,3.225052
"256",5.917,"CartoonTeacher",3.419037,3.208557
"257",5.939,"CartoonTeacher",3.39711,3.100677
"258",5.961,"CartoonTeacher",3.184204,3.243439
"259",5.985,"SM_Blackboard_Tafel_unten_low_101",3.264587,3.395447
"260",6.006,"SM_Blackboard_Tafel_unten_low_101",3.341888,3.443008
"261",6.028,"SM_Blackboard_Tafel_unten_low_101",3.302246,3.475937
"262",6.051,"SM_Blackboard_Tafel_unten_low_101",3.304352,3.435883
"263",6.074,"SM_Blackboard_Tafel_unten_low_101",3.29213,3.396561
"264",6.096,"SM_Blackboard_Tafel_unten_low_101",3.27388,3.400314
"265",6.118,"SM_Blackboard_Tafel_unten_low_101",3.281464,3.373734
"266",6.14,"SM_Blackboard_Tafel_unten_low_101",3.274261,3.376465
"267",6.162,"SM_Blackboard_Tafel_unten_low_101",3.240906,3.518219
"268",6.183,"SM_Blackboard_Tafel_unten_low_101",3.229752,3.507233
"269",6.206,"SM_Blackboard_Tafel_unten_low_101",3.435181,3.403534
"270",6.228,"SM_Blackboard_Tafel_unten_low_101",3.45369,3.231445
"271",6.25,"SM_Blackboard_Tafel_unten_low_101",3.433746,3.299896
"272",6.273,"SM_Blackboard_Tafel_unten_low_101",3.422333,3.297989
"273",6.296,"SM_Blackboard_Tafel_unten_low_101",3.424881,3.3013
"274",6.32,"SM_Blackboard_Tafel_unten_low_101",3.414322,3.309509
"275",6.342,"SM_Blackboard_Tafel_unten_low_101",3.422791,3.317978
"276",6.366,"SM_Blackboard_Tafel_unten_low_101",3.451004,3.344971
"277",6.39,"SM_Blackboard_Tafel_unten_low_101",3.641907,3.298935
"280",6.464,"SM_Blackboard_Tafel_unten_low_101",3.319778,3.521378
"281",6.496,"SM_Blackboard_Tafel_unten_low_101",3.167709,3.30571
"282",6.528,"SM_Blackboard_Tafel_unten_low_101",3.37793,3.371414
"283",6.561,"SM_Blackboard_Tafel_unten_low_101",3.196014,3.299835
"284",6.594,"SM_Blackboard_Tafel_unten_low_101",3.336319,3.316772
"285",6.628,"SM_Blackboard_Tafel_unten_low_101",3.119171,3.323364
"286",6.661,"SM_Blackboard_Tafel_unten_low_101",3.376953,3.324509
"287",6.695,"SM_Blackboard_Tafel_unten_low_101",3.351151,3.316727
"288",6.728,"SM_Blackboard_Tafel_unten_low_101",3.359238,3.310898
"289",6.761,"SM_Blackboard_Tafel_unten_low_101",3.375412,3.307785
"290",6.794,"SM_Blackboard_Tafel_unten_low_101",3.431824,3.313965
"291",6.827,"SM_Blackboard_Tafel_unten_low_101",3.478333,3.319534
"292",6.86,"SM_Blackboard_Tafel_unten_low_101",3.593842,3.57637
"293",6.894,"SM_Blackboard_Tafel_unten_low_101",3.59938,3.622482
"294",6.928,"SM_Blackboard_Tafel_unten_low_101",3.626907,3.506134
"295",6.961,"SM_Blackboard_Tafel_unten_low_101",3.639938,3.578781
"296",6.994,"SM_Blackboard_Tafel_unten_low_101",3.654907,3.561157
"297",7.028,"SM_Blackboard_Tafel_unten_low_101",3.656708,3.550446
"298",7.061,"SM_Blackboard_Tafel_unten_low_101",3.655518,3.539383
"299",7.094,"SM_Blackboard_Tafel_unten_low_101",3.42749,3.400055
"300",7.127,"Screen_95",3.459839,3.360718
"301",7.16,"CartoonTeacher",3.406296,3.355179
"302",7.194,"CartoonTeacher",3.408554,3.319168
"303",7.216,"CartoonTeacher",3.41597,3.319946
"304",7.238,"CartoonTeacher",3.406189,3.320038
"305",7.261,"CartoonTeacher",3.419113,3.343399
"306",7.283,"CartoonTeacher",3.403305,3.363235
"307",7.305,"CartoonTeacher",3.405609,3.37648
"308",7.327,"CartoonTeacher",3.406494,3.383514
"309",7.35,"CartoonTeacher",3.409729,3.39064
"310",7.372,"CartoonTeacher",3.403412,3.385773
"311",7.395,"CartoonTeacher",3.390884,3.392365
"312",7.417,"CartoonTeacher",3.384399,3.375168
"313",7.439,"CartoonTeacher",3.361252,3.376526
"314",7.463,"CartoonTeacher",3.270599,3.344009
"315",7.484,"CartoonTeacher",3.338669,3.330994
"316",7.505,"CartoonTeacher",3.333801,3.323334
"317",7.528,"CartoonTeacher",3.320206,3.327896
"318",7.551,"CartoonTeacher",3.324036,3.331604
"319",7.573,"CartoonTeacher",3.32518,3.324829
"320",7.595,"CartoonTeacher",3.326889,3.322739
"321",7.618,"CartoonTeacher",3.322861,3.340973
"322",7.639,"CartoonTeacher",3.240173,3.367676
"323",7.661,"CartoonTeacher",3.336334,3.334351
"324",7.683,"CartoonTeacher",3.248962,3.278992
"325",7.707,"CartoonTeacher",3.263474,3.309631
"326",7.729,"CartoonTeacher",3.263123,3.284134
"327",7.751,"CartoonTeacher",3.242142,3.287506
"328",7.772,"CartoonTeacher",3.242111,3.281021
"329",7.796,"CartoonTeacher",3.239807,3.276199
"330",7.818,"CartoonTeacher",3.230499,3.265656
"331",7.839,"CartoonTeacher",3.225876,3.264954
"332",7.862,"CartoonTeacher",3.226089,3.265747
"333",7.884,"CartoonTeacher",3.235794,3.265335
"334",7.906,"CartoonTeacher",3.235992,3.266281
"335",7.928,"CartoonTeacher",3.299011,3.276352
"336",7.951,"CartoonTeacher",3.302689,3.284698
"337",7.977,"CartoonTeacher",3.318466,3.288544
"338",8,"CartoonTeacher",3.248917,3.293198
"339",8.022,"CartoonTeacher",3.400467,3.292282
"340",8.046,"CartoonTeacher",3.35231,3.171722
"341",8.072,"CartoonTeacher",2.998779,2.40094
"343",8.123,"CartoonTeacher",3.027908,1.690521
"344",8.15,"CartoonTeacher",3.252319,3.184494
"345",8.183,"CartoonTeacher",3.259964,3.228394
"346",8.217,"CartoonTeacher",3.335083,3.186966
"347",8.251,"CartoonTeacher",3.455063,3.117035
"348",8.283,"CartoonTeacher",3.397415,3.220093
"349",8.317,"CartoonTeacher",3.456436,3.134964
"350",8.349,"CartoonTeacher",3.420135,3.133057
"351",8.382,"CartoonTeacher",3.424149,3.147202
"352",8.416,"CartoonTeacher",3.42308,3.155746
"353",8.448,"CartoonTeacher",3.477661,3.155609
"354",8.483,"CartoonTeacher",3.498825,3.151169
"355",8.516,"CartoonTeacher",3.525238,3.153763
"356",8.549,"CartoonTeacher",3.528107,3.167343
"357",8.583,"CartoonTeacher",3.529083,3.194641
"358",8.616,"CartoonTeacher",3.52916,3.207443
"359",8.65,"CartoonTeacher",3.501373,3.201141
"360",8.684,"CartoonTeacher",3.506454,3.195068
"361",8.716,"CartoonTeacher",3.502548,3.186646
"362",8.749,"CartoonTeacher",3.49498,3.181152
"363",8.782,"CartoonTeacher",3.47168,3.17865
"364",8.815,"CartoonTeacher",3.442139,3.186356
"365",8.849,"CartoonTeacher",3.416519,3.167389
"366",8.871,"CartoonTeacher",3.29538,3.347778
"367",8.893,"CartoonTeacher",3.466629,3.382553
"368",8.915,"CartoonTeacher",3.428665,3.273041
"369",8.938,"CartoonTeacher",3.355743,3.273849
"370",8.961,"CartoonTeacher",3.399734,3.323853
"371",8.984,"CartoonTeacher",3.408386,3.282608
"372",9.005,"CartoonTeacher",3.411957,3.283005
"373",9.027,"CartoonTeacher",3.420029,3.281082
"374",9.049,"CartoonTeacher",3.416656,3.280075
"375",9.072,"CartoonTeacher",3.423401,3.279282
"376",9.094,"CartoonTeacher",3.531006,3.280472
"377",9.116,"CartoonTeacher",3.492798,3.254303
"378",9.139,"CartoonTeacher",3.442551,3.293701
"382",9.228,"CartoonTeacher",2.557648,2.139267
"383",9.25,"CartoonTeacher",3.379654,3.262466
"384",9.273,"CartoonTeacher",3.342499,3.323715
"385",9.294,"CartoonTeacher",3.511154,3.354538
"386",9.315,"CartoonTeacher",3.488388,3.276703
"387",9.339,"CartoonTeacher",3.487289,3.252441
"388",9.36,"CartoonTeacher",3.478363,3.269867
"389",9.384,"CartoonTeacher",3.455383,3.23288
"390",9.405,"CartoonTeacher",3.362686,3.338776
"391",9.428,"CartoonTeacher",3.313232,3.340439
"392",9.45,"CartoonTeacher",3.313141,3.283417
"393",9.472,"CartoonTeacher",3.328827,3.331268
"394",9.493,"CartoonTeacher",3.330658,3.385788
"395",9.516,"CartoonTeacher",3.328949,3.355057
"396",9.538,"CartoonTeacher",3.343994,3.354828
"397",9.56,"CartoonTeacher",3.357025,3.370438
"398",9.582,"CartoonTeacher",3.363907,3.36142
"399",9.605,"CartoonTeacher",3.394775,3.36113
"400",9.629,"CartoonTeacher",3.461304,3.374008
"401",9.651,"CartoonTeacher",3.477829,3.374573
"402",9.676,"CartoonTeacher",3.509705,3.282883
"403",9.698,"CartoonTeacher",3.459518,3.284027
"404",9.722,"CartoonTeacher",3.496765,3.268784
"405",9.744,"CartoonTeacher",3.521179,3.289612
"406",9.766,"CartoonTeacher",3.511063,3.282272
"407",9.793,"CartoonTeacher",3.505737,3.274872
"408",9.826,"CartoonTeacher",3.519928,3.264908
"409",9.86,"CartoonTeacher",3.490524,3.267807
"410",9.893,"CartoonTeacher",3.486664,3.263885
"411",9.925,"CartoonTeacher",3.487152,3.261475
"412",9.959,"CartoonTeacher",3.463669,3.270401
"413",9.992,"CartoonTeacher",3.336548,3.307114
"417",10.126,"CartoonTeacher",2.618576,2.806503
"418",10.159,"CartoonTeacher",3.359711,3.019775
"419",10.193,"CartoonTeacher",3.336914,3.238342
"420",10.226,"CartoonTeacher",3.337799,3.187607
"421",10.26,"CartoonTeacher",3.419937,3.20961
"422",10.292,"CartoonTeacher",3.450287,3.271011
"423",10.325,"CartoonTeacher",3.440018,3.197723
"424",10.358,"CartoonTeacher",3.511978,3.193939
"425",10.391,"CartoonTeacher",3.476974,3.184113
"426",10.425,"CartoonTeacher",3.4702,3.185928
"427",10.459,"CartoonTeacher",3.471054,3.167053
"428",10.491,"CartoonTeacher",3.508728,3.180176
"429",10.526,"CartoonTeacher",3.473358,3.132172
"430",10.548,"CartoonTeacher",3.48349,3.198364
"431",10.57,"CartoonTeacher",3.483231,3.198761
"432",10.592,"CartoonTeacher",3.483185,3.201111
"433",10.616,"CartoonTeacher",3.48317,3.157761
"434",10.637,"CartoonTeacher",3.482651,3.157547
"435",10.661,"CartoonTeacher",3.481201,3.157639
"436",10.681,"CartoonTeacher",3.465042,3.151367
"437",10.704,"CartoonTeacher",3.453644,3.147385
"438",10.725,"CartoonTeacher",3.428162,3.119797
"439",10.749,"CartoonTeacher",3.415024,3.108063
"440",10.771,"CartoonTeacher",3.40683,3.12088
"441",10.793,"CartoonTeacher",3.359787,3.10788
"442",10.816,"CartoonTeacher",3.34816,3.089386
"443",10.838,"CartoonTeacher",3.345062,3.087585
"444",10.862,"CartoonTeacher",3.289474,3.070984
"445",10.882,"CartoonTeacher",3.257706,3.061981
"446",10.904,"CartoonTeacher",3.240372,3.065872
"447",10.927,"CartoonTeacher",3.238541,3.071625
"448",10.949,"CartoonTeacher",3.208023,3.092148
"449",10.971,"CartoonTeacher",3.185028,3.069229
"450",10.994,"CartoonTeacher",3.183441,3.063705
"451",11.016,"CartoonTeacher",3.183701,3.059616
"452",11.037,"CartoonTeacher",3.171692,3.048645
"453",11.06,"CartoonTeacher",3.172287,3.048294
"454",11.081,"CartoonTeacher",3.155106,3.036453
"455",11.104,"CartoonTeacher",3.225159,3.050919
"456",11.126,"CartoonTeacher",3.123657,3.031464
"457",11.15,"CartoonTeacher",3.172501,3.011246
"458",11.172,"CartoonTeacher",3.198349,3.01387
"459",11.193,"CartoonTeacher",3.234283,3.028946
"460",11.215,"CartoonTeacher",3.219162,3.028397
"461",11.237,"CartoonTeacher",3.22081,3.019135
"462",11.259,"CartoonTeacher",3.227615,3.042435
"463",11.281,"CartoonTeacher",3.249557,3.042297
"464",11.305,"CartoonTeacher",3.254242,3.049881
"465",11.327,"CartoonTeacher",3.262894,3.04187
"466",11.349,"CartoonTeacher",3.268967,3.041748
"467",11.372,"CartoonTeacher",3.2854,3.042099
"468",11.396,"CartoonTeacher",3.301239,3.050934
"469",11.42,"CartoonTeacher",3.302551,3.063843
"470",11.442,"CartoonTeacher",3.304153,3.085739
"471",11.465,"CartoonTeacher",3.305954,3.086746
"472",11.493,"CartoonTeacher",3.317444,3.097351
"473",11.526,"CartoonTeacher",3.319763,3.086533
"474",11.56,"CartoonTeacher",3.30722,3.105042
"475",11.594,"CartoonTeacher",3.303711,3.104523
"476",11.627,"CartoonTeacher",3.301529,3.103104
"477",11.66,"CartoonTeacher",3.303391,3.126266
"478",11.693,"CartoonTeacher",3.341049,3.102966
"479",11.726,"CartoonTeacher",3.34079,3.07843
"480",11.76,"CartoonTeacher",3.327866,3.066513
"481",11.793,"CartoonTeacher",3.335083,3.062622
"482",11.826,"CartoonTeacher",3.339035,3.073288
"483",11.861,"CartoonTeacher",3.352783,3.071976
"484",11.893,"CartoonTeacher",3.359818,3.080154
"485",11.928,"CartoonTeacher",3.377014,3.122726
"486",11.959,"CartoonTeacher",3.392502,3.121475
"487",11.994,"CartoonTeacher",3.399048,3.134369
"488",12.026,"CartoonTeacher",3.41098,3.123123
"489",12.059,"CartoonTeacher",3.411835,3.12381
"490",12.091,"CartoonTeacher",3.417328,3.129654
"491",12.125,"CartoonTeacher",3.423584,3.114319
"492",12.158,"CartoonTeacher",3.414108,3.144104
"493",12.192,"CartoonTeacher",3.389221,3.140427
"494",12.225,"CartoonTeacher",3.405945,3.12059
"495",12.247,"CartoonTeacher",3.403717,3.130096
"496",12.27,"CartoonTeacher",3.392456,3.105545
"497",12.292,"CartoonTeacher",3.342361,3.153809
"498",12.315,"CartoonTeacher",3.356659,3.068222
"499",12.337,"CartoonTeacher",3.369583,3.122513
"500",12.359,"CartoonTeacher",3.376938,3.148941
"501",12.381,"CartoonTeacher",3.375412,3.13269
"502",12.402,"CartoonTeacher",3.387146,3.130981
"503",12.425,"CartoonTeacher",3.413177,3.114609
"504",12.447,"CartoonTeacher",3.352219,3.1147
"505",12.469,"CartoonTeacher",3.359894,3.038681
"506",12.491,"CartoonTeacher",3.299057,3.10759
"507",12.513,"CartoonTeacher",3.221405,3.114792
"508",12.537,"CartoonTeacher",3.214752,3.272064
"509",12.559,"CartoonTeacher",3.178909,3.08963
"510",12.581,"Screen_95",3.17775,3.214432
"511",12.604,"SM_Blackboard_Tafel_unten_low_101",3.336792,3.295624
"512",12.625,"SM_Blackboard_Tafel_unten_low_101",3.153259,3.233688
"513",12.648,"SM_Blackboard_Schiene_low_99",3.147202,3.233734
"514",12.671,"SM_Blackboard_Schiene_low_99",3.155838,3.205933
"515",12.692,"SM_Blackboard_Schiene_low_99",3.222626,3.239777
"516",12.714,"SM_Blackboard_Tafel_unten_low_101",3.301132,3.32338
"517",12.736,"SM_Blackboard_Tafel_unten_low_101",3.250931,3.298904
"518",12.758,"SM_Blackboard_Tafel_unten_low_101",3.310852,3.215942
"519",12.781,"SM_Blackboard_Tafel_unten_low_101",3.237625,3.224075
"520",12.805,"SM_Blackboard_Schiene_low_99",3.24942,3.156067
"521",12.827,"SM_Blackboard_Tafel_unten_low_101",3.318909,3.282455
"522",12.849,"FrontWall",3.238052,3.381485
"523",12.872,"leftwall",3.257813,3.426117
"524",12.898,"leftwall",3.197739,3.364059
"525",12.92,"leftwall_5",3.178574,3.417847
